,dataset_name,subset_name,prompt_id,template_name,dataset_key,input,output
0,nusax_senti,nusax_senti_eng_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_eng_5,train,"Berikan hasil analisis sentimen dari text ini!
Enjoy 0% instalment for up to 12 months when ordering an Air Asia plane ticket with BNI Credit Card!",neutral
1,nusax_senti,nusax_senti_eng_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_eng_5,train,"Berikan hasil analisis sentimen dari text ini!
The cakes give me massive nostalgia. Everything is old school. from the presentation to the taste. They're great and inexpensive",positive
2,nusax_senti,nusax_senti_eng_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_eng_5,train,"Berikan hasil analisis sentimen dari text ini!
Mom once worked for grab indonesia.",neutral
3,nusax_senti,nusax_senti_eng_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_eng_5,train,"Berikan hasil analisis sentimen dari text ini!
I love having lunch here the most, thanks to their delicious chicken and sambal, also the price is dirt cheap. The taste of the chicken just seeps to the bone, and the iced aloe vera drink is also fresh, perfect to cool off my stomach after eating the spicy sambal. The servers are swift and kind, and what I like is that in the cashier there's a writing that says 10% of the profit will be donated to charity, making the meal feel even better to my stomach.",positive
4,nusax_senti,nusax_senti_eng_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_eng_5,train,"Berikan hasil analisis sentimen dari text ini!
The DAMRI Bus service is really good",positive
5,nusax_senti,nusax_senti_eng_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_eng_5,train,"Berikan hasil analisis sentimen dari text ini!
Wanna make some posts with contents that educate Gojek customers.",neutral
6,nusax_senti,nusax_senti_eng_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_eng_5,train,"Berikan hasil analisis sentimen dari text ini!
Hundreds of houses in Medan were submerged by the flood",neutral
7,nusax_senti,nusax_senti_eng_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_eng_5,train,"Berikan hasil analisis sentimen dari text ini!
The item's pretty good, but I'm confused. Is the ON button on the Xiaomi Redmi Note 2 kinda broken? And does the battery really drain this fast, boss?",negative
8,nusax_senti,nusax_senti_eng_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_eng_5,train,"Berikan hasil analisis sentimen dari text ini!
Really hard to trust people who had betrayed us before",negative
9,nusax_senti,nusax_senti_eng_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_eng_5,train,"Berikan hasil analisis sentimen dari text ini!
Located in Gombel with Semarang scenery, come at night because you can see the city lights. The great steak and warm tea are a must-try here. Take the outdoor spot because the air is cool and breezy.",positive
