,dataset_name,subset_name,prompt_id,template_name,dataset_key,input,output
0,nusax_senti,nusax_senti_min_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_min_5,train,"Berikan hasil analisis sentimen dari text ini!
Nikmati cicilan 0% sampai 12 bulan untuak pamasanan tiket pisawat air asia jo kartu kredit bni!",neutral
1,nusax_senti,nusax_senti_min_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_min_5,train,"Berikan hasil analisis sentimen dari text ini!
Kue-kue nan disajian mambuek awak takana masa lalu. Sadolahnyo mode kue jaman dulu, antah itu dari penampilan maupun raso. Kuenyo lamak dan haragonyo murah lo.",positive
2,nusax_senti,nusax_senti_min_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_min_5,train,"Berikan hasil analisis sentimen dari text ini!
Ibu pernah bakarajo di grab indonesia",neutral
3,nusax_senti,nusax_senti_min_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_min_5,train,"Berikan hasil analisis sentimen dari text ini!
Paliang suko bana makan siang di siko ayam jo ladonyo lamak bana harago lua biaso himat, raso ayamnyo maresap sampai katulangnyo, es lidah buayonyo juo segar buek sajuak paruik siap makan lado yang padeh, palayannyo sigap dan ramah, yang wak suko di tampek kasir ado tulisan 10% disumbangan untuak baamal, buek makan jadi labiah lamak ka paruik",positive
4,nusax_senti,nusax_senti_min_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_min_5,train,"Berikan hasil analisis sentimen dari text ini!
Palayanan bus DAMRI sangaik elok",positive
5,nusax_senti,nusax_senti_min_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_min_5,train,"Berikan hasil analisis sentimen dari text ini!
Nio buek postingan yang isionyo maedukasi customers gojek.",neutral
6,nusax_senti,nusax_senti_min_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_min_5,train,"Berikan hasil analisis sentimen dari text ini!
Ratuihan rumah di medan tarandam banjir",neutral
7,nusax_senti,nusax_senti_min_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_min_5,train,"Berikan hasil analisis sentimen dari text ini!
Barangnyo lumayan, cuma yang den heran xiomi redmi note 2 ko tombol onnyo memang agak rusak? Tu baterai memang capek low bat juragan?",negative
8,nusax_senti,nusax_senti_min_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_min_5,train,"Berikan hasil analisis sentimen dari text ini!
Payah bana mampacayoi urang nan alah pernah bakianat",negative
9,nusax_senti,nusax_senti_min_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_min_5,train,"Berikan hasil analisis sentimen dari text ini!
Lokasi di gombel jo pamandangan semarang, tibolah malam dek lampu kota akan tacaliak, makanan lamak steak jo teh hangek menu wajib di siko, ambiak spot di lua dek udaro dingin dan sajuak",positive
