prompts,responses
Apa itu STNK?,<pad> STNK adalah merek dagang Korea Selatan yang didistribusikan oleh Star Global untuk perusahaan global. Semua produk mulai dikirim ke perwakilan nasional. Semua produk mulai digunakan oleh perusahaan global.</s>
Gimana caranya perpanjang STNK?,<pad> Caranya perpanjang STNK begini: 1. Memperpanjang STNK Berikan nomor kode yang sesuai untuk setiap nomor kartu. Lihat nomor kartu yang terdaftar di STNK. 2. Memperpanjang STNK Perpanjang STNK untuk memiliki kartu tambahan. Carilah kartu yang sesuai untuk setiap nomor kartu. Jalani proses perpanjangan yang sudah ditentukan. Perpanjang kartu setelah melakukan pemesanan kartu. </s>
Tutorial perpanjang STNK?,<pad> 1. Jalankan ke mesin tanpa nomor urut yang ada di stasiun. 2. Jalankan ke Stasiun. 3. Jalankan ke Stasiun. 4. Jalankan ke Stasiun. 5. Jalankan ke Stasiun. 6. Jalankan ke Stasiun. 7. Jalankan ke Stasiun. 8. Jalankan ke Stasiun. 9. Jalankan ke Stasiun. 10. Jalankan ke Stasiun. 11. Jalankan ke Stasiun. 11. Jalankan ke Stasiun. 12. Jalankan ke Stasiun. 12. Jalankan ke Stasiun. 13. Jalankan ke Stasiun. 14. Jalankan ke Stasiun. 15. Jalankan ke Stasiun. 16. Jalankan ke Stasiun. 17. Jalankan ke Stasiun. 18. Jalankan ke Stasiun. 19. Jalankan ke Stasiun. 20. Jalankan ke Stasiun. 22. Jalankan ke Stasiun. 29. Jalankan ke Stasiun. 30. Jalankan ke Stasiun. 31. Jalankan ke Stasiun. 34. Jalankan ke Stasiun. 35. Jalankan ke Stasiun. 35. Jalankan ke Stasiun. 36. Jalankan ke Stasiun. 37. Jalankan
Di mana perpanjang STNK?,"<pad> SNK tersedia di pasar domestik dan internasional, dengan jumlah perpanjangan terbatas di antaranya adalah: SNK tersedia dalam bentuk kartu dan kartu yang lebih kecil (jika termasuk kartu debit dan kartu kredit)</s>"
Cara mengurus STNK yang sudah tidak berlaku?,<pad> Cara mengurus STNK yang sudah tidak berlaku adalah sebagai berikut: 1. Mengurus STNK yang sudah tidak berlaku: Mengumpulkan dana dari rekening yang sudah tidak berlaku kepada pihak ahli. 2. Mengurus STNK yang sudah tidak berlaku: Mengumpulkan dana dari rekening yang sudah tidak berlaku kepada pihak ahli. 3. Mengurus STNK yang sudah tidak berlaku: Menerima dana dari rekening yang sudah tidak berlaku kepada pihak ahli. 4. Mengurus STNK yang sudah tidak berlaku: Mengurus dana dari rekening yang sudah tidak berlaku kepada pihak ahli. 5. Mengurus STNK yang sudah tidak berlaku: Menerima dana dari rekening yang sudah tidak berlaku kepada pihak ahli. 6. Mengurus STNK yang sudah tidak berlaku: Menerima dana dari rekening yang sudah tidak berlaku kepada pihak ahli. 7. Mengurus STNK yang sudah tidak berlaku: Menerima dana dari rekening yang sudah tidak berlaku kepada pihak ahli. 8. Mengurus STNK yang sudah tidak berlaku: Menerima dana dari rekening yang 
Cara mengurus KTP hilang?,<pad> KTP hilang di Indonesia tidak bisa dicari oleh pihak kepolisian. Cendol tidak bisa membuat keputusan mengenai perkara seperti ini.</s>
KTP gue ilang coy?,"<pad> Mohon maaf, Cendol ga ikut-ikutan politik mancanegara</s>"
Kapan harus bayar pajak?,"<pad> Setiap bulan dalam setahun, seorang warga negara harus membayar pajak sesuai dengan jumlah pengeluarannya. Pasangan ini harus membayar pajak setelah dua tahun, atau sampai tahun yang sama.</s>"
Gimana cara ngurus NPWP?,<pad> Cara ngurus NPWP begini nih: 1. Mendaftarkan Pengguna di Komputer Pastikan Anda mengirimkan informasi pribadi kepada pihak ketiga yang bersangkutan. Pilih nomor ponsel pintar yang sesuai dengan jenis ponsel Anda. Pilih opsi yang sesuai dengan persyaratan yang berlaku. 2. Menggunakan Perangkat Lunak Anggaran Pahamilah apa yang harus dilakukan oleh pihak ketiga untuk mendapatkan informasi pribadi. Pertimbangkan untuk tidak mengunjungi situs web pemblokiran atau pengawasan akuntansi. Gunakan aplikasi perangkat lunak yang sesuai untuk mendapatkan informasi pribadi. Gunakan aplikasi yang sesuai untuk mendapatkan informasi pribadi. Tanyakan kepada pihak ketiga mengenai pembayaran pinjaman dan pemberian uang tunai kepada pihak ketiga. 3. Menggunakan Perangkat Lunak Anggaran Pahamilah bahwa Anda tidak perlu menggunakan perangkat lunak yang sesuai untuk mendapatkan informasi pribadi. Lakukan riset dan evaluasi mengenai perangkat lunak yang terkait dengan NPWP. </s>
Cara pembuatan NPWP?,"<pad> Pembuatan NPWP adalah langkah pertama untuk mendapatkan informasi tentang negara yang Anda inginkan. Penerimaan dan pencapaian NPWP dilakukan menggunakan informasi yang Anda miliki secara langsung. Setelah informasi ini diterima, penerimaan akan dilakukan dengan mengirimkan formulir NPWP ke Biro Penyelenggara Pendaftaran Nasional.</s>"
