prompts,responses
Apa itu STNK?, Surat Tanda Nomor Kendaraan
Gimana caranya perpanjang STNK?, Via internet
Tutorial perpanjang STNK?, Yes
Di mana perpanjang STNK?, kantor samsat
Cara mengurus STNK yang sudah tidak berlaku?, Anda bisa langsung pergi ke kantor polisi untuk mengurusnya.
Cara mengurus KTP hilang?, Coba hubungi kelurahan
KTP gue ilang coy?," Oh, ya saya tau.."
Kapan harus bayar pajak?, Setiap tahun
Gimana cara ngurus NPWP?, Cek tabel yang disediakan di situs Kementerian Keuangan.
Cara pembuatan NPWP?, Anda perlu mengisi formulir dan membayar biaya yang diminta.
Apa itu BPJS?, Badan Penyelenggara Jaminan Sosial
Gimana caranya daftar BPJS?, Menelepon nomor 135
Bagaimana prosedur daftar BPJS Ketenagakerjaan?, bisa melalui aplikasi Mobile JKK.
5 tips lolos tes CPNS:?," Sabar, jangan terlalu ambisius dan belajar"
Trik diterima tes masuk PNS?, Bisa
Bagaimana supaya bisa masuk PNS?, lulus tes
Tips dan trik masuk kuliah di UI?, Universitas Indonesia
Cara ampuh diterima kuliah di ITB?, Saya tidak punya jawaban karena saya tidak pernah diterima ITB.
Bagaimana caranya lolos SIMAK UI?, Anda bisa mendaftar program SIMAK UI melalui situs resmi kampus
Bagaimana cara lolos SNMBTN?, harus memenuhi syarat yang sudah ditentukan
Gimana caranya bisa masuk Binus?, bisa melalui jalur SNMPTN
Tips masuk UGM dong?, Nuhun.
Siapa Jokowi?, Presiden Republik Indonesia
Siapa Anies?, gubernur DKI Jakarta
Siapa Ridwan Kamil?, Gubernur Jawa Barat
Siapa Aldi Taher?, aktor dan model
Siapa Megawati?, Ketua Dewan Perwakilan Rakyat.
Siapa Nadiem Makarim?, Bos Gojek
Siapa Prabowo Subianto?, Presiden RI
Siapa Syahrini?, Penyanyi terkenal di Indonesia
Siapa Sherina?, Putri mantan Wakil Presiden AS Dick Cheney
5 destinasi wisata favorit di Bali?," Tanjung Benoa, Nusa Dua, Kuta, Uluwatu, dan Sanur"
Buat travel plan healing ke Jogja?, Yes
"Kalau lagi di Jakarta, bagusnya main ke mana aja?"," Monas, Bundaran HI, Ancol"
Apa tempat wisata paling bagus di Medan?, Pasar Beringharjo
Bagaimana caranya jadi mitra GoJek?, Menambahkan layanan.
Akun GoPay saya terblokir?, No
Gimana caranya top-up OVO?, Klik opsi OVO atau OVO Mobile pada menu
Pesen cendol gimana?, enak
Pesen gojek gimana?, Tidak terlalu bagus
Belanja di tokped caranya gimana?, di tokped
Cara sukses jualan di Shopee?," Sebelum menjual, pastikan Anda punya produk yang tepat yang dijual."
Tips healing ampuh dong?, No
Tips anti galau ala anak jaksel?," Jika ingin mengetahui lebih jelas bagaimana cara mengatasi galau, Anda bisa membaca di:"
Pesen grab gimana?, Sama seperti biasa
Pesen taksi gimana?, Harganya mahal
Tips sukses jualan di Tiktok?, Anda harus kreatif dan menguasai topik yang Anda jual
Tips sukses dalam semalam?, tidak ada tips sukses untuk semalam
Tips sukses cpns?, ya
Tips sukses sistem kebut semalam?, Menghitung mundur ke angka tertentu hingga mencapai 1.
"Mau jalan-jalan di Pluit, kemana ya?", Pantai Ancol
"Mau jalan-jalan di Jaksel, kemana ya?", Katedral
"Mau jalan-jalan di PIM, kemana ya?", aku ke pim di akhir pekan nanti.
"Mau jalan-jalan di GI, kemana ya?"," Saya tidak tahu, kita lihat nanti yaaa"
"Kalau mau kuliah, bagusnya kuliah kemana ya?", Unpad
"Kalau mau kuliah, apa cuma kuliah negeri aja yang bagus?"," itu pilihanmu, ada juga sekolah swasta"
"Kalau mau kuliah, apa cuma kuliah swasta aja yang bagus?", Bukannya pemerintah juga punya universitas?
Siapa anaknya Jokowi?, Tidak ada
Siapa anaknya Soekarno?, Putri Rukmini
Siapa presiden Indonesia yang pertama?, Soekarno
Siapa presiden Indonesia yang kedua?, Soeharto
Apa artinya sebelum negara api menyerang?, (Before a nation is attacked) It means to be unprepared.
Jual mobil perlu BPKB ngga?, Yg penting SIM saja
Jual mobil tanpa BPKB?," Jika Anda tidak mempunyai BPKB mobil, Anda bisa menjualnya di internet."
Mendingan gw mampir pegadaian ngga ya?, Ngga mas.. aku di kantor..
Cicil rumah bisa via KPR?, bisa
Gimana caranya KPR murah?, Cari di tempat yang harganya murah
Tips sukses KPR?, Saya baru mengetahui tentang produk KPR Bank Permata
Kredit bunga rendah?, Yep.
Kredit motor dong?, Not yet.
Gimana cara manfaatin KTP ganda?, Menangkan lotre
Tips sukses jualan di Tokped?, Cari tahu tentang tips sukses jualan di Bukalapak
Tips sukses jualan di Tokopedia?, Beli produk yang punya banyak pembeli dan rating 5
Gimana cara beli ketoprak?, Datang aja ke tempat penjualnya.
Gimana cara bikin ketoprak?, Cari di internet ketoprak
