prompts,responses
Apa itu STNK?,<s> Apa itu STNK?</s>
Gimana caranya perpanjang STNK?,<s> Gimana caranya perpanjang STNK?</s>
Tutorial perpanjang STNK?,<s> Tutorial perpanjang STNK?</s>
Di mana perpanjang STNK?,<s> Di mana perpanjang STNK?</s>
Cara mengurus STNK yang sudah tidak berlaku?,<s> Cara mengurus STNK yang sudah tidak berlaku?</s>
Cara mengurus KTP hilang?,<s> Cara mengurus KTP hilang?</s>
KTP gue ilang coy?,<s> KTP gue ilang coy?!?!?! FYI. My ID card is missing?!?!?! FYI.</s>
Kapan harus bayar pajak?,<s> Kapan harus bayar pajak?</s>
Gimana cara ngurus NPWP?,<s> Gimana cara ngurus NPWP?</s>
Cara pembuatan NPWP?,<s> Cara pembuatan NPWP?</s>
Apa itu BPJS?,<s> Apa itu BPJS?</s>
Gimana caranya daftar BPJS?,<s> Gimana caranya daftar BPJS?</s>
Bagaimana prosedur daftar BPJS Ketenagakerjaan?,<s> Bagaimana prosedur daftar BPJS Ketenagakerjaan?</s>
5 tips lolos tes CPNS:?,<s> 5 tips lolos tes CPNS:?</s>
Trik diterima tes masuk PNS?,<s> Trik diterima tes masuk PNS?</s>
Bagaimana supaya bisa masuk PNS?,<s> Bagaimana supaya bisa masuk PNS?</s>
Tips dan trik masuk kuliah di UI?,<s> Tips dan trik masuk kuliah di UI?</s>
Cara ampuh diterima kuliah di ITB?,<s> Cara ampuh diterima kuliah di ITB?</s>
Bagaimana caranya lolos SIMAK UI?,<s> Bagaimana caranya lolos SIMAK UI?</s>
Bagaimana cara lolos SNMBTN?,<s> Bagaimana cara lolos SNMBTN?</s>
Gimana caranya bisa masuk Binus?,<s> Gimana caranya bisa masuk Binus?</s>
Tips masuk UGM dong?,"<s> Tips masuk UGM dong? oi, tips masuk UGM dong?</s>"
Siapa Jokowi?,<s> Siapa Jokowi?</s>
Siapa Anies?,"<s> Siapa Anies? Aanies is a Muslim, and he is a member of the Muslim Brotherhood Ikhwan web site.</s>"
Siapa Ridwan Kamil?,<s> Siapa Ridwan Kamil?</s>
Siapa Aldi Taher?,<s> Siapa Aldi Taher?</s>
Siapa Megawati?,<s> Siapa Megawati? (Indonesian: Siapakah Megawati?</s>
Siapa Nadiem Makarim?,<s> Siapa Nadiem Makarim? The profile of Nadiem Makarim.</s>
Siapa Prabowo Subianto?,<s> Siapa Prabowo Subianto?</s>
Siapa Syahrini?,<s> Siapa Syahrini? Siapa Syahrini?</s>
Siapa Sherina?,<s> Siapa Sherina?</s>
5 destinasi wisata favorit di Bali?,<s> 5 destinasi wisata favorit di Bali?</s>
Buat travel plan healing ke Jogja?,<s> Buat travel plan healing ke Jogja? Lihat kami!</s>
"Kalau lagi di Jakarta, bagusnya main ke mana aja?","<s> Kalau lagi di Jakarta, bagusnya main ke mana aja?</s>"
Apa tempat wisata paling bagus di Medan?,<s> Apa tempat wisata paling bagus di Medan?</s>
Bagaimana caranya jadi mitra GoJek?,<s> Bagaimana caranya jadi mitra GoJek?</s>
Akun GoPay saya terblokir?,<s> Akun GoPay saya terblokir?</s>
Gimana caranya top-up OVO?,<s> Gimana caranya top-up OVO?</s>
Pesen cendol gimana?,<s> Pesen cendol gimana?</s>
Pesen gojek gimana?,<s> Pesen gojek gimana?</s>
Belanja di tokped caranya gimana?,<s> Belanja di tokped caranya gimana?</s>
Cara sukses jualan di Shopee?,<s> Cara sukses jualan di Shopee? Promo code.</s>
Tips healing ampuh dong?,<s> Tips healing ampuh dong?</s>
Tips anti galau ala anak jaksel?,<s> Tips anti galau ala anak jaksel?</s>
Pesen grab gimana?,<s> Pesen grab gimana?</s>
Pesen taksi gimana?,<s> Pesen taksi gimana? Bus or train?</s>
Tips sukses jualan di Tiktok?,<s> Tips sukses jualan di Tiktok?</s>
Tips sukses dalam semalam?,<s> Tips sukses dalam semalam?</s>
Tips sukses cpns?,<s> Tips sukses cpns?</s>
Tips sukses sistem kebut semalam?,<s> Tips sukses sistem kebut semalam?</s>
"Mau jalan-jalan di Pluit, kemana ya?","<s> Mau jalan-jalan di Pluit, kemana ya?</s>"
"Mau jalan-jalan di Jaksel, kemana ya?","<s> Mau jalan-jalan di Jaksel, kemana ya?</s>"
"Mau jalan-jalan di PIM, kemana ya?","<s> Mau jalan-jalan di PIM, kemana ya?</s>"
"Mau jalan-jalan di GI, kemana ya?","<s> Mau jalan-jalan di GI, kemana ya?</s>"
"Kalau mau kuliah, bagusnya kuliah kemana ya?","<s> Kalau mau kuliah, bagusnya kuliah kemana ya?</s>"
"Kalau mau kuliah, apa cuma kuliah negeri aja yang bagus?","<s> Kalau mau kuliah, apa cuma kuliah negeri aja yang bagus?</s>"
"Kalau mau kuliah, apa cuma kuliah swasta aja yang bagus?","<s> Kalau mau kuliah, apa cuma kuliah swasta aja yang bagus?</s>"
Siapa anaknya Jokowi?,<s> Siapa anaknya Jokowi?</s>
Siapa anaknya Soekarno?,<s> Siapa anaknya Soekarno?</s>
Siapa presiden Indonesia yang pertama?,<s> Siapa presiden Indonesia yang pertama? Sukaruhun</s>
Siapa presiden Indonesia yang kedua?,<s> Siapa presiden Indonesia yang kedua?</s>
Apa artinya sebelum negara api menyerang?,<s> Apa artinya sebelum negara api menyerang?</s>
Jual mobil perlu BPKB ngga?,<s> Jual mobil perlu BPKB ngga?</s>
Jual mobil tanpa BPKB?,"<s> Jual mobil tanpa BPKB? Mobil tanpa BPKB kaina, tolong nih otomatis tanpa otomatis tanpa BPKB?</s>"
Mendingan gw mampir pegadaian ngga ya?,<s> Mendingan gw mampir pegadaian ngga ya? :D</s>
Cicil rumah bisa via KPR?,<s> Cicil rumah bisa via KPR?</s>
Gimana caranya KPR murah?,<s> Gimana caranya KPR murah?</s>
Tips sukses KPR?,<s> Tips sukses KPR?</s>
Kredit bunga rendah?,<s> Kredit bunga rendah?</s>
Kredit motor dong?,<s> Kredit motor dong?</s>
Gimana cara manfaatin KTP ganda?,<s> Gimana cara manfaatin KTP ganda?</s>
Tips sukses jualan di Tokped?,<s> Tips sukses jualan di Tokped?</s>
Tips sukses jualan di Tokopedia?,<s> Tips sukses jualan di Tokopedia?</s>
Gimana cara beli ketoprak?,<s> Gimana cara beli ketoprak?</s>
Gimana cara bikin ketoprak?,<s> Gimana cara bikin ketoprak?</s>
Ketoprak yg enak yg kayak apa?,<s> Ketoprak yg enak yg kayak apa?</s>
Gimana cara beli gado-gado?,<s> Gimana cara beli gado-gado?</s>
Gimana cara bikin gado-gado?,<s> Gimana cara bikin gado-gado?</s>
Gado-gado yg enak yg kayak apa?,<s> Gado-gado yg enak yg kayak apa?</s>
Makanan khas Indo apa ya yang enak?,<s> Makanan khas Indo apa ya yang enak?</s>
Minta saran oleh-oleh khas Indo dong?,<s> Minta saran oleh-oleh khas Indo dong?</s>
Makanan khas Jakarta apa ya yang enak?,<s> Makanan khas Jakarta apa ya yang enak?</s>
Minta saran oleh-oleh khas Jakarta dong?,<s> Minta saran oleh-oleh khas Jakarta dong?</s>
Makanan khas Bandung apa ya yang enak?,<s> Makanan khas Bandung apa ya yang enak?</s>
Minta saran oleh-oleh khas Bandung dong?,<s> Minta saran oleh-oleh khas Bandung dong?</s>
Apa bedanya pecel lele sama lele?,<s> Apa bedanya pecel lele sama lele?</s>
Apa bedanya pecel lele sama pecel?,<s> Apa bedanya pecel lele sama pecel?</s>
Apa bedanya ketoprak dan gado-gado?,<s> Apa bedanya ketoprak dan gado-gado?</s>
Apa bedanya ketoprak dan karedok?,<s> Apa bedanya ketoprak dan karedok?</s>
Apa bedanya gado-gado dan karedok?,<s> Apa bedanya gado-gado dan karedok?</s>
Akun Grab saya terblokir?,<s> Akun Grab saya terblokir?</s>
Kenapa Jakarta macet banget ya?,<s> Kenapa Jakarta macet banget ya?</s>
Gimana caranya jadi presiden?,<s> Gimana caranya jadi presiden?</s>
Gimana caranya jadi gubernur?,<s> Gimana caranya jadi gubernur?</s>
Gimana caranya jadi ketua RT?,<s> Gimana caranya jadi ketua RT?</s>
Kenapa ngga ada yang mau jadi ketua RT?,<s> Kenapa ngga ada yang mau jadi ketua RT?</s>
