ending1,ending2,labels,startphrase
Dia penakut.,Dia pemberani.,0,Nyalinya seperti anak kecil yang tersesat.
Dia penakut.,Dia pemberani.,1,Nyalinya seperti prajurit terdepan di medan perang.
Pengetahuannya kurang.,Pengetahuannya luas.,0,Berbicara dengan Kinan seperti bicara dengan balita.
Pengetahuannya kurang.,Pengetahuannya luas.,1,Berbicara dengan Kinan seperti mengikuti kuliah kuliah dari dosen ternama.
Anak itu tampil dengan malu-malu.,Anak itu tampil dengan percaya diri.,0,Anak itu tampil bak putri malu yang layu.
Anak itu tampil dengan malu-malu.,Anak itu tampil dengan percaya diri.,1,Anak itu tampil bak bunga mawar di taman.
Suara Sari sangat kencang.,Suara Sari sangat pelan.,0,Suara Sari dapat mengalahkan suara ombak.
Suara Sari sangat kencang.,Suara Sari sangat pelan.,1,Suara Sari lenyap terbawa angin.
Cara makannya rapi.,Cara makannya berantakan.,0,Cara makannya bagai tamu restoran bintang 5.
Cara makannya rapi.,Cara makannya berantakan.,1,Cara makannya bagai anak kecil di toko es krim.
Pekerjaan ayah sangat mudah.,Pekerjaan ayah sangat sulit.,0,Pekerjaan ayah semudah membalikkan telapak tangan.
Pekerjaan ayah sangat mudah.,Pekerjaan ayah sangat sulit.,1,Pekerjaan ayah semudah memasukkan benang ke dalam jarum.
Tasnya besar.,Tasnya kecil.,0,Siswa SD itu membawa tas layaknya orang yang mau kabur dari rumah.
Tasnya besar.,Tasnya kecil.,1,Siswa SD itu membawa tas layaknya orang yang akan pergi ke mal.
Dia sangat lapar.,Dia sangat kenyang.,0,Dia melahap makanan seolah belum makan tiga hari.
Dia sangat lapar.,Dia sangat kenyang.,1,Dia melahap makanan seolah habis menghadiri tiga kondangan.
Dia berjalan dengan lambat.,Dia berjalan dengan cepat.,0,Ia berjalan layaknya siput.
Dia berjalan dengan lambat.,Dia berjalan dengan cepat.,1,Ia berjalan layaknya macan.
Kehadirannya adalah musibah.,Kehadirannya adalah anugerah.,0,Kehadirannya bagaikan petir di siang bolong.
Kehadirannya adalah musibah.,Kehadirannya adalah anugerah.,1,Kehadirannya bagaikan bintang di langit malam.
Hidupnya bebas.,Hidupnya terkekang.,0,Dia menjalani hidup bak burung di angkasa.
Hidupnya bebas.,Hidupnya terkekang.,1,Dia menjalani hidup bak singa di kebun binatang.
Siswa-siswi kelas A berpartisipasi dengan aktif.,Siswa-siswi kelas A berpartisipasi dengan pasif.,0,Situasi kelas A seramai KRL di jam kerja.
Siswa-siswi kelas A berpartisipasi dengan aktif.,Siswa-siswi kelas A berpartisipasi dengan pasif.,1,Situasi kelas A seramai kuburan di malam hari.
Adik ingin memiliki rambut pendek.,Adik ingin memiliki rambut panjang.,0,Adik menginginkan rambut seperti dora.
Adik ingin memiliki rambut pendek.,Adik ingin memiliki rambut panjang.,1,Adik menginginkan rambut seperti rapunzel.
Ceritanya panjang.,Ceritanya pendek.,0,Curhatannya sepanjang skripsi mahasiswa kedokteran.
Ceritanya panjang.,Ceritanya pendek.,1,Curhatannya sepanjang iklan badut di jalanan.
Tulisannya berantakan.,Tulisannya rapi.,0,Tulisan tangannya bak tulisan dokter.
Tulisannya berantakan.,Tulisannya rapi.,1,Tulisan tangannya bak ketikan komputer canggih.
Perintah itu mustahil dilakukan.,Perintah itu selalu dilakukan.,0,Memintanya membereskan kamar sama seperti menyuruh kucing terbang.
Perintah itu mustahil dilakukan.,Perintah itu selalu dilakukan.,1,Memintanya membereskan kamar sama seperti berbincang dengan google assistant.
Dia bekerja dengan cekatan.,Dia bekerja dengan lambat.,0,Dia menyelesaikan pekerjaannya secepat memasak mi instan.
Dia bekerja dengan cekatan.,Dia bekerja dengan lambat.,1,Dia menyelesaikan pekerjaannya secepat mengurus paspor yang hilang.
Suasana kelas sangat menegangkan.,Suasana kelas sangat bersahabat.,0,Kelas bersama Pak Faisal seperti sedang berada di kandang singa.
Suasana kelas sangat menegangkan.,Suasana kelas sangat bersahabat.,1,Kelas bersama Pak Faisal seperti sedang bermain dengan anak tetangga.
Orang asing bisa menjadi teman.,Orang asing bisa menjadi musuh.,0,Orang asing yang kau temui sewaktu-waktu bisa menjadi rumah untuk pulang.
Orang asing bisa menjadi teman.,Orang asing bisa menjadi musuh.,1,Orang asing yang kau temui sewaktu-waktu bisa menjadi jurang di ujung jalan.
Mereka berbicara dengan suara kencang.,Mereka berbicara dengan suara pelan.,0,"Saat kelas berlangsung, mereka berbincang bak petir bersahut-sahutan di tengah hujan."
Mereka berbicara dengan suara kencang.,Mereka berbicara dengan suara pelan.,1,"Saat kelas berlangsung, mereka berbincang bak berbisik pada dedaunan."
Perempuan itu suka bersosialisasi.,Perempuan itu suka menyendiri.,0,Perempuan itu sangat suka berkumpul dengan bintang-bintang.
Perempuan itu suka bersosialisasi.,Perempuan itu suka menyendiri.,1,Perempuan itu sangat suka memeluk keheningan malam.
Dia peduli.,Dia tidak peduli.,0,"Saat aku terpuruk, dia berlagak layaknya fans yang mendukung idolanya."
Dia peduli.,Dia tidak peduli.,1,"Saat aku terpuruk, dia berlagak layaknya orang asing di keramaian ibu kota."
Ayahnya sangat ramah.,Ayahnya sangat kaku.,0,Ayahku bersikap seolah bisa menyapa seluruh dunia.
Ayahnya sangat ramah.,Ayahnya sangat kaku.,1,Ayahku bersikap seolah dia adalah robot yang sudah usang.
Dia sangat sedih.,Dia sangat senang.,0,Dia tampak seperti mahasiswa yang gagal ujian.
Dia sangat sedih.,Dia sangat senang.,1,Dia tampak seperti habis memenangkan lotre.
"Menurutnya, merantau itu mendebarkan.","Menurutnya, merantau itu menyesakkan.",0,"Menurutnya, merantau adalah petualangan mencari jati diri."
"Menurutnya, merantau itu mendebarkan.","Menurutnya, merantau itu menyesakkan.",1,"Menurutnya, merantau adalah perang yang tak berujung."
Rara tampak rapi.,Rara tampak lusuh.,0,Rara berpakaian seolah akan mengikuti pemotretan di sebuah majalah.
Rara tampak rapi.,Rara tampak lusuh.,1,Rara berpakaian seolah akan mengambil paket di depan rumah.
Dia bicara dengan lemah lembut.,Dia bicara dengan kasar.,0,Cara bicaranya bak putri Solo.
